"MUNICIPIO","DEPARTAMENTO","POBLACIÓN_5_16","TASA_MATRICULACIÓN_5_16","COBERTURA_NETA","COBERTURA_NETA_TRANSICIÓN","COBERTURA_NETA_PRIMARIA","COBERTURA_NETA_SECUNDARIA","COBERTURA_NETA_MEDIA","COBERTURA_BRUTA","COBERTURA_BRUTA_TRANSICIÓN","COBERTURA_BRUTA_PRIMARIA","COBERTURA_BRUTA_SECUNDARIA","COBERTURA_BRUTA_MEDIA","DESERCIÓN","DESERCIÓN_TRANSICIÓN","DESERCIÓN_PRIMARIA","DESERCIÓN_SECUNDARIA","DESERCIÓN_MEDIA","APROBACIÓN","APROBACIÓN_TRANSICIÓN","APROBACIÓN_PRIMARIA","APROBACIÓN_SECUNDARIA","APROBACIÓN_MEDIA","REPROBACIÓN","REPROBACIÓN_TRANSICIÓN","REPROBACIÓN_PRIMARIA","REPROBACIÓN_SECUNDARIA","REPROBACIÓN_MEDIA","REPITENCIA","REPITENCIA_TRANSICIÓN","REPITENCIA_PRIMARIA","REPITENCIA_SECUNDARIA","REPITENCIA_MEDIA"
"Abriaquí","Antioquia","499",0.5611,0.5611,0.3953,0.5913,0.5152,0.2651,0.6192,0.5814,0.6779,0.6061,0.5181,0,0,0,0,0,0.9968,0,1,1,0.9767,0.0032,0,0,0,0.0233,0.0841,0,0.0851,0.13,0.0233
"Cómbita","Boyacá","1862",0.9533,0.9533,0.5364,0.8915,0.9888,0.621,1.9151,0.6358,1.4884,2.5859,2.2516,0.0324,0,0.0171,0.0497,0.0368,0.9414,0,0.9658,0.9063,0.9526,0.0262,0,0.0171,0.044,0.0105,0.0794,0.0169,0.0494,0.1453,0
"Cumaribo","Vichada","25239",0.507,0.507,0.4014,0.5771,0.1695,0.0385,0.5774,0.6132,0.8833,0.3803,0.1794,0.055,0.0379,0.0508,0.073,0.0615,0.7928,0,0.7454,0.8461,0.8816,0.1522,0,0.2039,0.0809,0.057,0.2014,0.0063,0.2699,0.1105,0.0434
"Santa Rosalía","Vichada","1157",0.8142,0.8142,0.7067,0.8264,0.549,0.2245,0.9058,1.1733,1.0879,0.8529,0.4694,0.063,0.0455,0.0615,0.0776,0.0326,0.8607,0,0.8673,0.8132,0.913,0.0763,0,0.0712,0.1092,0.0543,0.1317,0,0.15,0.1667,0.0217
"La Primavera","Vichada","2645",0.9096,0.9096,0.6413,0.9646,0.5901,0.3133,0.9913,0.8315,1.2868,0.8936,0.5901,0.0516,0.0272,0.0565,0.0542,0.0327,0.8601,0,0.8336,0.8573,0.9382,0.0883,0,0.11,0.0884,0.0291,0.1315,0.0068,0.1738,0.1167,0.0364
"Puerto Carreño","Vichada","4600",1.4835,1.4817,1.1402,1.6911,0.8125,0.291,1.5874,1.4043,2.356,1.214,0.6104,0.0845,0.0506,0.091,0.0887,0.0413,0.8147,0,0.8004,0.782,0.9404,0.1008,0,0.1086,0.1292,0.0183,0.1272,0.019,0.1386,0.1492,0.0436
"Yavaraté","Vaupés","562",0.4626,0.4626,0.4848,0.5156,0.2429,0.1596,0.5089,0.9091,0.6978,0.3571,0.2553,0.0839,0,0.0191,0.2533,0.0833,0.8287,0,0.828,0.7333,0.9167,0.0874,0,0.1529,0.0133,0,0.0769,0,0.0892,0.08,0.0833
"Papunaua","Vaupés","208",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Taraira","Vaupés","802",0.1995,0.1995,0.1429,0.2983,0,0,0.2082,0.3016,0.5017,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.3473,0,0.3919,0,0
"Pacoa","Vaupés","1666",0.548,0.548,0.1429,0.5488,0.2509,0.0525,0.7287,0.381,0.9878,0.6953,0.4,0.0783,0,0.0432,0.1031,0.2213,0.8995,0,0.9275,0.8892,0.7377,0.0222,0,0.0293,0.0077,0.041,0.1829,0.2321,0.2577,0.1031,0.0164
"Caruru","Vaupés","1224",0.4747,0.4747,0.5128,0.4899,0.3482,0.1275,0.5082,0.6667,0.6154,0.4978,0.2108,0.0354,0.0192,0.0164,0.0628,0.0465,0.9421,0,0.9638,0.9058,0.9302,0.0225,0,0.0197,0.0314,0.0233,0.1318,0.0192,0.1053,0.1973,0.1163
"Mitú","Vaupés","10882",0.5778,0.5778,0.3974,0.5415,0.4331,0.1726,0.6843,0.5907,0.746,0.7081,0.5307,0.0506,0.0476,0.0409,0.066,0.0455,0.8612,0,0.8938,0.7987,0.8607,0.0881,0,0.0653,0.1354,0.0938,0.1575,0.0621,0.1832,0.1576,0.1061
"Miraflores","Guaviare","2049",0.2787,0.2787,0.1437,0.2486,0.2097,0.1025,0.345,0.3413,0.3468,0.3812,0.2544,0.0574,0.0526,0.0324,0.0944,0.0476,0.8187,0.1579,0.8155,0.7983,0.9365,0.1239,0.1579,0.1521,0.1073,0.0159,0.145,0.1053,0.1618,0.1631,0.0317
"El Retorno","Guaviare","4492",0.5071,0.5071,0.3012,0.48,0.4365,0.1864,0.5846,0.5088,0.6141,0.6521,0.4133,0.0532,0.0517,0.0475,0.0625,0.0482,0.8755,0.0345,0.8787,0.8519,0.9157,0.0713,0.0345,0.0738,0.0856,0.0361,0.096,0.0345,0.1072,0.1146,0.024
"Calamar","Guaviare","2506",0.7869,0.7869,0.4605,0.7762,0.5953,0.3035,0.9437,0.8947,1.0066,0.9715,0.7488,0.0267,0.0539,0.0181,0.0359,0.0149,0.8726,0.0931,0.8963,0.8188,0.9403,0.1007,0.0931,0.0856,0.1453,0.0448,0.0969,0.0441,0.1132,0.1078,0.0299
"San José del Guaviare","Guaviare","14142",0.8751,0.8743,0.5933,0.8112,0.6938,0.3921,1.0385,0.9538,1.1206,1.0471,0.8569,0.0502,0.0752,0.0418,0.0648,0.0242,0.8733,0.0227,0.9025,0.8062,0.918,0.0765,0.0227,0.0556,0.129,0.0578,0.1151,0.07,0.1083,0.1631,0.0319
"Morichal","Guainía","347",0.4582,0.4582,0.1613,0.4394,0.2258,0,0.5476,0.3226,0.7955,0.5161,0.1833,0.1,0.3,0.1143,0.0625,0,0.8421,0,0.7905,0.9219,1,0.0579,0,0.0952,0.0156,0,0.1632,0,0.2762,0.0313,0
"Pana Pana","Guainía","727",0.359,0.359,0.2192,0.4239,0.0916,0.0086,0.4347,0.3836,0.75,0.2595,0.1121,0.0032,0,0,0.0147,0,0.9367,0,0.9324,0.9118,1,0.0601,0,0.0676,0.0735,0,0.0759,0,0.058,0.1765,0
"Cacahual","Guainía","384",0.8385,0.8385,0.9565,0.6831,0.1694,0,0.8958,1.6522,1.3552,0.4677,0,0.0203,0,0.0161,0.0517,0,0.9331,0,0.9355,0.8793,0,0.0465,0,0.0484,0.069,0,0.189,0.0526,0.2379,0.069,0
"La Guadalupe","Guainía","115",0.7826,0.7826,0.9,0.9038,0,0,0.8,1.7,1.4423,0,0,0.0109,0.0588,0,0,0,0.9457,0,0.9467,0,0,0.0435,0,0.0533,0,0,0.087,0,0.1067,0,0
"Puerto Colombia","Guainía","755",0.8397,0.8397,0.3971,0.9123,0.1116,0.0179,0.8914,0.6765,1.6287,0.2618,0.0804,0.0283,0.087,0.0198,0.0492,0.1111,0.7188,0,0.6817,0.8852,0.8889,0.253,0,0.2986,0.0656,0,0.266,0.087,0.3106,0.0328,0
"San Felipe","Guainía","674",0.6113,0.6113,0.2899,0.6655,0.1149,0.0421,0.6795,0.6232,1.1855,0.2766,0.2526,0.0546,0,0.0429,0.1692,0,0.8275,0.0465,0.8006,0.8154,1,0.1179,0.0465,0.1564,0.0154,0,0.107,0,0.1227,0.1231,0.0417
"Barranco Minas","Guainía","4070",0.6587,0.6587,0.5959,0.6674,0.4061,0.0887,0.7703,0.6628,0.932,0.7382,0.4633,0.044,0.0132,0.0235,0.0781,0.066,0.79,0,0.8256,0.6775,0.8185,0.1659,0,0.1509,0.2444,0.1155,0.1305,0.0044,0.1472,0.1408,0.1023
"Inírida","Guainía","9666",0.7741,0.7741,0.6685,0.7598,0.4384,0.1485,0.887,1.072,1.0935,0.8009,0.475,0.0519,0.0603,0.0488,0.0618,0.024,0.8012,0.0201,0.7929,0.7646,0.8542,0.1469,0.0201,0.1583,0.1736,0.1218,0.149,0.0684,0.1671,0.1709,0.036
"Tarapacá","Amazonas","1332",0.5255,0.5255,0.4364,0.6096,0.2511,0.0262,0.5811,0.8182,0.9006,0.3911,0.083,0.022,0.0444,0.0204,0.017,0,0.978,0,0.9796,0.983,1,0,0,0,0,0,0.1744,0.0222,0.18,0.2159,0.3684
"Puerto Santander","Amazonas","616",0.6006,0.6006,0.5106,0.7519,0.215,0.0825,0.6494,1.0213,1.0155,0.3271,0.2062,0.0075,0,0.0076,0.0143,0,0.9925,0,0.9924,0.9857,1,0,0,0,0,0,0.125,0.1042,0.1374,0.1286,0
"Puerto Nariño","Amazonas","3229",0.5435,0.5435,0.469,0.5226,0.3939,0.1507,0.6123,0.7636,0.744,0.571,0.2957,0.0362,0.0203,0.0161,0.0672,0.0571,0.8782,0.0457,0.88,0.8508,0.9071,0.0856,0.0457,0.104,0.082,0.0357,0.1654,0.0508,0.1801,0.1951,0.1
"Puerto Arica","Amazonas","272",0.8346,0.8346,0.6923,0.8293,0.4941,0.2368,0.9301,1.0385,1.1545,0.7176,0.6053,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0.1146,0.037,0.169,0.0492,0.0435
"Puerto Alegría","Amazonas","212",0.7217,0.7217,0.8636,0.7576,0.3594,0,0.8113,1.5909,1.0303,0.5469,0,0.0523,0.1143,0.049,0,0,0.8721,0,0.8235,1,0,0.0756,0,0.1275,0,0,0.1686,0,0.2451,0.1143,0
"Miriti - Paraná","Amazonas","573",0.4607,0.4607,0.1778,0.5644,0.2565,0.1161,0.534,0.5556,0.7733,0.3874,0.2946,0.0327,0,0.0115,0.0811,0.0606,0.9673,0,0.9885,0.9189,0.9394,0,0,0,0,0,0.1373,0,0.1609,0.1216,0.1515
"La Victoria","Amazonas","167",0.1317,0.1317,0.1333,0.1831,0,0,0.1317,0.2,0.2676,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.2727,0.6667,0.2105,0,0
"La Pedrera","Amazonas","1205",0.6705,0.6705,0.2929,0.759,0.3495,0.1837,0.795,0.798,1.0683,0.5947,0.5204,0.0179,0.0127,0.0038,0.0469,0.0429,0.9799,0,0.9962,0.9531,0.9286,0.0022,0,0,0,0.0286,0.1387,0.0506,0.1447,0.1784,0.0714
"La Chorrera","Amazonas","1193",0.5038,0.5038,0.6,0.4495,0.3325,0.0979,0.5859,0.9875,0.6267,0.5406,0.4021,0.1481,0.3418,0.0517,0.2386,0.12,0.7863,0,0.8571,0.6954,0.88,0.0656,0,0.0912,0.066,0,0.0885,0.0506,0.1216,0.0558,0.06
"El Encanto","Amazonas","658",0.5137,0.5137,0.5185,0.609,0.3867,0.1062,0.5441,0.7222,0.7218,0.4622,0.2035,0.0309,0,0.0052,0.068,0.1364,0.9522,0,0.9948,0.8738,0.8636,0.0169,0,0,0.0583,0,0.0616,0.0256,0.0365,0.1154,0.0909
